(89.976069,0.000000)
(90.331854,20.878471)
(91.415763,42.259342)
(93.281389,64.686255)
(96.025521,88.792524)
(99.800915,115.365934)
(104.839846,145.446812)
(111.494672,180.484823)
(120.308841,222.612103)
(132.153503,275.146486)
(148.500159,343.606476)
(172.029726,437.957159)
(208.173164,578.298958)
(269.826265,812.258993)
(396.827006,1286.844922)
(803.057108,2791.094850)
(-8450.966421,-31340.997366)
(-636.575480,-2509.253403)
(-321.266435,-1341.382217)
(-210.798618,-929.425898)
(-154.686872,-718.232872)
(-120.840952,-589.404504)
(-98.269414,-502.375971)
(-82.187939,-439.482598)
(-70.180433,-391.796286)
(-60.895172,-354.318298)
(-53.517463,-324.030264)
(-47.526482,-299.001909)
(-42.574631,-277.940116)
(-38.420917,-259.946351)
(-34.892520,-244.376388)
(-31.863229,-230.755796)
(-29.237898,-218.727917)
(-26.944196,-208.018849)
(-24.925556,-198.414809)
(-23.137652,-189.746734)
(-21.544989,-181.878315)
(-20.118642,-174.699617)
(-18.835518,-168.119605)
(-17.676122,-162.063497)
(-16.624437,-156.468099)
(-15.666893,-151.280723)
(-14.792287,-146.456067)
(-13.990847,-141.955841)
(-13.254468,-137.746945)
(-12.575938,-133.800676)
(-11.949156,-130.092024)
(-11.368890,-126.599267)
(-10.830576,-123.303263)
(-10.329982,-120.187030)
(-9.863691,-117.235806)
(-9.428555,-114.435901)
(-9.021596,-111.775927)
(-8.640576,-109.244798)
(-8.283281,-106.833200)
(-7.947468,-104.532406)
(-7.631810,-102.334707)
(-7.334332,-100.233030)
(-7.053883,-98.220932)
(-6.789040,-96.292535)
(-6.538705,-94.442733)
(-6.301735,-92.666441)
(-6.077124,-90.959173)
(-5.864253,-89.316886)
(-5.661979,-87.735755)
(-5.470052,-86.212588)
(-5.287190,-84.743681)
(-5.113192,-83.326486)
(-4.947571,-81.957990)
(-4.789588,-80.635678)
(-4.638699,-79.357262)
(-4.494658,-78.120394)
(-4.356981,-76.923090)
(-4.225242,-75.763482)
(-4.099182,-74.639639)
(-3.978493,-73.549935)
(-3.862876,-72.492879)
(-3.751946,-71.466815)
(-3.645484,-70.470398)
(-3.543299,-69.502322)
(-3.445076,-68.561496)
(-3.350637,-67.646680)
(-3.259901,-66.756811)
(-3.172629,-65.890608)
(-3.088602,-65.047380)
(-3.007557,-64.226237)
(-2.929459,-63.426094)
(-2.854140,-62.646321)
(-2.781657,-61.885965)
(-2.711647,-61.144312)
(-2.644060,-60.420866)
(-2.578692,-59.714873)
(-2.515561,-59.025428)
(-2.454628,-58.352239)
(-2.395641,-57.694693)
(-2.338618,-57.052036)
(-2.283350,-56.424023)
(-2.229800,-55.809894)
(-2.178004,-55.209442)
(-2.127913,-54.621915)
(-2.079401,-54.047227)
(-2.032225,-53.484699)
(-1.986583,-52.934060)
(-1.942254,-52.394829)
(-1.899166,-51.866689)
(-1.857441,-51.349452)
(-1.816914,-50.842548)
(-1.777567,-50.345724)
(-1.739307,-49.858727)
(-1.702123,-49.381301)
(-1.666027,-48.913162)
(-1.630916,-48.453920)
(-1.596712,-48.003377)
(-1.563461,-47.561311)
(-1.531003,-47.127368)
(-1.499691,-46.701535)
(-1.468966,-46.283385)
(-1.439079,-45.872763)
(-1.409934,-45.469516)
(-1.381679,-45.073505)
(-1.354087,-44.684476)
(-1.327085,-44.302090)
(-1.300950,-43.926199)
(-1.275315,-43.557050)
(-1.250418,-43.193873)
(-1.225955,-42.836833)
(-1.202280,-42.485718)
(-1.179020,-42.140488)
(-1.156387,-41.800786)
(-1.134395,-41.466759)
(-1.112784,-41.138069)
(-1.091697,-40.814636)
(-1.071084,-40.496266)
(-1.050998,-40.182804)
